transaction_id,user_id,card_number,expiry_month,expiry_year,cvv,amount,currency,merchant_id,merchant_country,is_foreign,device_id,ip_address,latitude,longitude,transaction_ts
batch_tx_001,user_001,4539687543209403,12,2030,123,2307.76,INR,m_retail_01,IN,False,device_aarav_phone,10.0.0.10,28.55413586782792,77.22414951568638,2026-04-08T21:40:28.316072
batch_tx_002,user_002,4532129292439623,12,2030,123,749.1,INR,m_airline_99,US,False,device_mia_ios,10.0.0.11,28.61574112068907,77.17851022670601,2026-04-08T21:41:28.316072
batch_tx_003,user_003,4539990594053856,12,2030,123,659.59,INR,m_electronics_77,IT,False,device_luca_android,10.0.0.12,28.611189717310307,77.12599930535072,2026-04-08T21:42:28.316072
batch_tx_004,user_001,5167446551674230,12,2030,123,2988.6,INR,m_grocery_04,SG,False,unknown_tablet_1,10.0.0.13,28.541176867771938,77.13451408213503,2026-04-08T21:43:28.316072
batch_tx_005,user_002,5178058944541674,12,2030,123,2932.02,INR,m_retail_01,AE,True,device_aarav_phone,10.0.0.14,28.662296339947524,77.13980831378394,2026-04-08T21:44:28.316072
batch_tx_006,user_003,5522337050920606,12,2030,123,1684.08,INR,m_airline_99,IN,False,device_mia_ios,10.0.0.15,28.630389315584893,77.27163343079313,2026-04-08T21:45:28.316072
batch_tx_007,user_001,4539687543209403,12,2030,123,3878.04,INR,m_electronics_77,US,False,device_luca_android,10.0.0.16,28.593468875944126,77.27620081689487,2026-04-08T21:46:28.316072
batch_tx_008,user_002,4532129292439623,12,2030,123,8670.91,INR,m_grocery_04,IT,True,unknown_tablet_1,10.0.0.17,40.781693691809735,-74.04207814273366,2026-04-08T21:47:28.316072
batch_tx_009,user_003,4539990594053856,12,2030,123,26222.64,INR,m_retail_01,SG,True,device_aarav_phone,10.0.0.18,40.63355844761568,-74.03830363517962,2026-04-08T21:48:28.316072
batch_tx_010,user_001,5167446551674230,12,2030,123,146957.91,INR,m_airline_99,AE,True,device_mia_ios,10.0.0.19,28.55891622078783,77.213056026186,2026-04-08T21:49:28.316072
batch_tx_011,user_002,9999999999999999,12,2030,123,4261.26,INR,m_electronics_77,IN,False,device_luca_android,10.0.0.20,28.589583606836115,77.20763911451353,2026-04-08T21:50:28.316072
batch_tx_012,user_003,5522337050920606,12,2030,123,689.29,INR,m_grocery_04,US,False,unknown_tablet_1,10.0.0.21,28.539536187194596,77.1529533940511,2026-04-08T21:51:28.316072
